'Number Of Strokes	?empty	 - одна черта	'
'一	[yī]	 один; единица; первый	'
'一	[yī]	 целый; весь	'
'一	[yī]	 как только	'
'一	[yī]	 одинаковый	'
'一	[yī]	 служит для выражения кратковременности действия	'
'一一	[yīyī]	один за другим; по порядку	'
'一下	[yīxià]	 вдруг; сразу, разом	'
'一下	[yīxià]	 после глагола служит для выражения однократности или кратковременности действия	'
'一下子	[yīxiàzi]	см. 	'
'一不作, 二不休	[yī bù zuò, èr bù xiū]	обр. взявшись за гуж, не говори, что не дюж; назвался груздем - полезай в кузов	'
'一丘之貉	[yīqiūzhī hé]	обр. одного поля ягоды; одним миром мазаны	'
'一丝一毫	[yīsī yīháo]	обр. самую малость; чуточку; крупица; волосок	'
'一丝不挂	[yī sī bù guà]	обр. абсолютно голый; в ч	'
'一丝不苟	[yī sī bù gǒu]	обр. скрупул	'
'一个劲儿	[yīgejìnr]	без передышки; не переставая	'
'一举两得	[yījǔ liǎngdé]	обр. одним выстрелом убить двух зайцев; одним махом сделать два дела	'
'一了百了	[yīliǎo bǎiliǎo]	обр. разрешится главное - разрешится и вс	'
'一事无成	[yī shì wú chéng]	обр. ничего не добиться; не добиться никакого результата	'
'一二	[yī’èr]	немного; кое-что	'
'一五一十	[yīwǔ yīshí]	обр. подробнейшим образом; детально	'
'一些	[yīxiē]	 немного; несколько	'
'一些	[yīxiē]	 некоторый	'
'一会儿	[yīhuìr]	 минутка; на минуту; немного; немножко (о времени)	'
'一会儿	[yīhuìr]	 скоро; тотчас	'
'一会儿	[yīhuìr]	 в удвоении то..., то...	'
'一体化	[yītǐhuà]	интеграция	'
'一元化	[yīyuáhuà]	 унификация; единообразие	'
'一元化	[yīyuáhuà]	 централизация	'
'一共	[yīgòng]	всего; итого	'
'一再	[yīzài]	неоднократно; не раз	'
'一准	[yīzhǔn]	непременно, обязательно	'
'一刀两断	[yī dāo liǎng duàn]	обр. решительно порвать с кем-либо/чем-либо; отмежеваться от кого-либо/чего-либо	'
'一刀切	[yīdāo qiē]	обр. стричь под одну греб	'
'一分为二	[yī fēn wéi èr]	филос. раздвоение единого	'
'一切	[yīqiè]	 все; весь	'
'一切	[yīqiè]	 вс	'
